date,open,high,low,close,volume
2025-10-13 09:15:00,1553.12,1553.12,1553.1,1553.1,0
2025-10-13 09:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 09:45:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 10:00:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 10:15:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 10:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 10:45:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 11:00:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 11:15:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 11:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 11:45:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 12:00:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 12:15:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 12:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 12:45:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 13:00:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 13:15:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 13:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 13:45:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 14:00:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 14:15:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 14:30:00,1553.1,1553.1,1553.1,1553.1,0
2025-10-13 14:45:00,1553.1,1553.55,1553.1,1553.55,0
2025-10-13 15:00:00,1553.55,1553.55,1553.55,1553.55,0
2025-10-13 15:15:00,1553.55,1553.55,1553.55,1553.55,0
2025-10-14 09:15:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 09:30:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 09:45:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 10:00:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 10:15:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 10:30:00,1553.89,1553.89,1553.89,1553.89,0
2025-10-14 10:45:00,1553.89,1554.33,1553.89,1554.33,0
2025-10-14 11:00:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 11:15:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 11:30:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 11:45:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 12:00:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 12:15:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 12:30:00,1554.33,1554.33,1554.33,1554.33,0
2025-10-14 12:45:00,1554.33,1554.33,1553.74,1553.74,0
2025-10-14 13:00:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 13:15:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 13:30:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 13:45:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 14:00:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 14:15:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 14:30:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 14:45:00,1553.74,1553.74,1553.74,1553.74,0
2025-10-14 15:00:00,1553.74,1554.04,1553.74,1554.04,0
2025-10-14 15:15:00,1554.04,1554.04,1554.04,1554.04,0
2025-10-15 09:15:00,1554.01,1554.01,1553.99,1553.99,0
2025-10-15 09:30:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 09:45:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 10:00:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 10:15:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 10:30:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 10:45:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 11:00:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 11:15:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 11:30:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 11:45:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 12:00:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 12:15:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 12:30:00,1553.99,1553.99,1553.99,1553.99,0
2025-10-15 12:45:00,1553.99,1554.02,1553.99,1554.02,0
2025-10-15 13:00:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 13:15:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 13:30:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 13:45:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 14:00:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 14:15:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 14:30:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 14:45:00,1554.02,1554.02,1554.02,1554.02,0
2025-10-15 15:00:00,1554.02,1554.15,1553.98,1554.06,0
2025-10-15 15:15:00,1554.06,1554.06,1554.06,1554.06,0
2025-10-16 09:15:00,1554.43,1554.43,1554.4,1554.4,0
2025-10-16 09:30:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 09:45:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 10:00:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 10:15:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 10:30:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 10:45:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 11:00:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 11:15:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 11:30:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 11:45:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 12:00:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 12:15:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 12:30:00,1554.4,1554.4,1554.4,1554.4,0
2025-10-16 12:45:00,1554.4,1554.48,1554.4,1554.48,0
2025-10-16 13:00:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 13:15:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 13:30:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 13:45:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 14:00:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 14:15:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 14:30:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 14:45:00,1554.48,1554.48,1554.48,1554.48,0
2025-10-16 15:00:00,1554.48,1555.4,1554.48,1555.4,0
2025-10-16 15:15:00,1555.4,1555.4,1555.4,1555.4,0
2025-10-17 09:15:00,1556.08,1556.08,1556.05,1556.05,0
2025-10-17 09:30:00,1556.05,1556.05,1556.05,1556.05,0
2025-10-17 09:45:00,1556.05,1556.05,1556.05,1556.05,0
2025-10-17 10:00:00,1556.05,1556.05,1556.05,1556.05,0
2025-10-17 10:15:00,1556.05,1556.05,1556.05,1556.05,0
2025-10-17 10:30:00,1556.05,1556.05,1556.05,1556.05,0
2025-10-17 10:45:00,1556.05,1556.05,1556.05,1556.05,0
